step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
7/1/2022 13:14:37,7/1/2022 16:16:23,7/1/2022 17:25:44,7/1/2022 18:10:10,7/1/2022 23:10:33,7/2/2022 0:57:05,7/2/2022 2:29:32,7/2/2022 6:52:41
7/1/2022 13:19:49,7/1/2022 13:43:33,7/1/2022 18:38:34,7/1/2022 19:21:34,7/1/2022 19:47:12,7/1/2022 23:11:36,7/2/2022 0:22:58,7/2/2022 1:03:11
7/1/2022 13:50:24,7/1/2022 17:20:46,7/1/2022 21:19:46,7/1/2022 22:31:48,7/1/2022 23:10:20,7/2/2022 3:47:48,7/2/2022 7:37:04,7/2/2022 11:18:00
7/1/2022 14:20:10,7/1/2022 15:22:23,7/1/2022 15:54:19,7/1/2022 19:11:06,7/1/2022 20:19:38,7/1/2022 23:46:45,7/2/2022 3:52:31,7/2/2022 7:12:45
7/1/2022 14:47:43,7/1/2022 18:08:09,7/1/2022 19:08:13,7/1/2022 21:08:19,7/1/2022 23:58:19,7/2/2022 2:16:12,7/2/2022 2:32:42,7/2/2022 5:56:26
7/1/2022 15:33:02,7/1/2022 15:57:19,7/1/2022 20:35:38,7/1/2022 23:14:05,7/2/2022 0:47:29,7/2/2022 1:33:59,7/2/2022 1:42:40,7/2/2022 4:37:57
7/1/2022 17:15:52,7/1/2022 17:41:55,7/1/2022 18:48:51,7/1/2022 21:08:52,7/2/2022 1:50:21,7/2/2022 4:55:44,7/2/2022 7:25:51,7/2/2022 11:35:39
7/1/2022 18:47:27,7/1/2022 18:48:02,7/1/2022 19:38:35,7/1/2022 21:43:19,7/1/2022 22:22:24,7/2/2022 1:26:46,7/2/2022 4:19:03,7/2/2022 7:11:07
7/1/2022 18:48:26,7/1/2022 21:20:00,7/1/2022 23:04:16,7/2/2022 1:12:18,7/2/2022 3:00:45,7/2/2022 4:33:15,7/2/2022 4:37:37,7/2/2022 6:33:12
7/1/2022 20:22:51,7/1/2022 23:18:21,7/2/2022 1:17:49,7/2/2022 4:21:18,7/2/2022 6:24:00,7/2/2022 8:29:11,7/2/2022 9:44:31,7/2/2022 11:54:18
7/1/2022 22:19:19,7/2/2022 2:34:59,7/2/2022 7:04:07,7/2/2022 8:24:53,7/2/2022 10:26:17,7/2/2022 12:51:28,7/2/2022 14:37:53,7/2/2022 19:37:44
7/1/2022 23:21:48,7/1/2022 23:24:31,7/2/2022 2:31:04,7/2/2022 7:30:27,7/2/2022 10:26:30,7/2/2022 12:49:30,7/2/2022 13:28:09,7/2/2022 18:05:38
7/1/2022 23:43:06,7/2/2022 1:50:44,7/2/2022 4:27:23,7/2/2022 7:09:49,7/2/2022 10:10:45,7/2/2022 12:02:29,7/2/2022 13:21:36,7/2/2022 17:44:22
7/2/2022 1:40:12,7/2/2022 5:26:28,7/2/2022 9:26:59,7/2/2022 10:59:00,7/2/2022 13:28:45,7/2/2022 14:23:16,7/2/2022 18:07:42,7/2/2022 21:31:00
7/2/2022 2:45:36,7/2/2022 3:55:20,7/2/2022 4:52:07,7/2/2022 5:52:21,7/2/2022 10:36:21,7/2/2022 11:20:35,7/2/2022 13:28:45,7/2/2022 18:01:11
7/2/2022 3:50:21,7/2/2022 4:11:18,7/2/2022 7:10:03,7/2/2022 7:19:54,7/2/2022 7:33:57,7/2/2022 10:18:36,7/2/2022 13:33:17,7/2/2022 14:07:02
7/2/2022 4:30:58,7/2/2022 4:59:42,7/2/2022 6:03:28,7/2/2022 10:06:34,7/2/2022 12:18:39,7/2/2022 15:29:17,7/2/2022 18:50:33,7/2/2022 20:15:03
7/2/2022 5:38:43,7/2/2022 9:21:45,7/2/2022 12:59:47,7/2/2022 17:48:05,7/2/2022 20:45:47,7/2/2022 23:22:50,7/3/2022 4:09:24,7/3/2022 6:58:10
7/2/2022 6:45:17,7/2/2022 10:22:02,7/2/2022 11:18:46,7/2/2022 14:05:37,7/2/2022 18:00:20,7/2/2022 19:18:35,7/3/2022 0:03:30,7/3/2022 3:03:33
7/2/2022 7:12:01,7/2/2022 7:13:43,7/2/2022 8:59:05,7/2/2022 9:51:12,7/2/2022 14:15:39,7/2/2022 15:46:02,7/2/2022 18:01:53,7/2/2022 22:27:58
7/2/2022 8:09:57,7/2/2022 12:51:50,7/2/2022 14:19:38,7/2/2022 15:27:15,7/2/2022 17:41:52,7/2/2022 21:48:47,7/2/2022 22:56:48,7/3/2022 2:01:31
7/2/2022 9:52:09,7/2/2022 12:24:37,7/2/2022 13:26:34,7/2/2022 17:01:10,7/2/2022 18:48:32,7/2/2022 23:41:51,7/3/2022 0:22:04,7/3/2022 2:30:20
7/2/2022 11:01:55,7/2/2022 11:29:25,7/2/2022 16:09:54,7/2/2022 16:36:35,7/2/2022 19:45:02,7/2/2022 22:26:31,7/3/2022 1:16:44,7/3/2022 1:55:43
7/2/2022 12:27:45,7/2/2022 15:46:08,7/2/2022 15:47:13,7/2/2022 20:04:13,7/2/2022 20:54:26,7/2/2022 23:13:48,7/3/2022 0:29:36,7/3/2022 0:48:29
7/2/2022 12:48:52,7/2/2022 17:49:08,7/2/2022 20:50:45,7/2/2022 21:03:27,7/3/2022 1:27:38,7/3/2022 4:45:44,7/3/2022 5:49:44,7/3/2022 7:08:26
7/2/2022 14:11:46,7/2/2022 18:28:12,7/2/2022 22:31:53,7/3/2022 1:00:04,7/3/2022 2:42:19,7/3/2022 4:25:53,7/3/2022 6:32:19,7/3/2022 8:38:49
7/2/2022 16:11:31,7/2/2022 17:38:08,7/2/2022 18:40:33,7/2/2022 22:01:38,7/3/2022 1:13:25,7/3/2022 3:25:20,7/3/2022 8:15:47,7/3/2022 8:42:47
7/2/2022 17:54:03,7/2/2022 20:55:27,7/2/2022 23:08:43,7/3/2022 3:43:49,7/3/2022 5:23:01,7/3/2022 9:59:46,7/3/2022 12:13:58,7/3/2022 14:16:56
7/2/2022 18:33:10,7/2/2022 18:50:15,7/2/2022 20:01:27,7/2/2022 23:12:27,7/3/2022 1:33:14,7/3/2022 6:29:19,7/3/2022 10:20:20,7/3/2022 14:53:25
7/2/2022 18:38:10,7/2/2022 20:37:24,7/3/2022 0:52:04,7/3/2022 3:13:43,7/3/2022 3:24:32,7/3/2022 6:44:24,7/3/2022 10:37:09,7/3/2022 14:51:20
7/2/2022 19:11:40,7/2/2022 19:58:56,7/2/2022 23:05:08,7/3/2022 3:41:37,7/3/2022 7:30:49,7/3/2022 12:06:42,7/3/2022 16:35:25,7/3/2022 19:33:04
7/2/2022 20:44:28,7/3/2022 0:05:05,7/3/2022 4:44:33,7/3/2022 8:05:52,7/3/2022 11:22:17,7/3/2022 11:40:03,7/3/2022 15:04:49,7/3/2022 15:23:12
7/2/2022 22:42:50,7/3/2022 3:33:10,7/3/2022 4:35:16,7/3/2022 5:35:16,7/3/2022 7:34:23,7/3/2022 9:07:03,7/3/2022 10:08:21,7/3/2022 12:00:25
7/2/2022 23:01:45,7/2/2022 23:26:54,7/3/2022 0:09:44,7/3/2022 2:53:02,7/3/2022 5:52:04,7/3/2022 9:47:17,7/3/2022 12:20:38,7/3/2022 16:14:32
7/2/2022 23:54:36,7/2/2022 23:58:54,7/3/2022 1:40:26,7/3/2022 6:16:50,7/3/2022 9:14:37,7/3/2022 13:14:35,7/3/2022 16:21:41,7/3/2022 20:32:04
7/3/2022 1:10:20,7/3/2022 3:53:11,7/3/2022 6:29:25,7/3/2022 9:40:47,7/3/2022 13:44:31,7/3/2022 17:34:40,7/3/2022 20:39:11,7/3/2022 22:20:26
7/3/2022 1:54:51,7/3/2022 6:16:51,7/3/2022 7:24:13,7/3/2022 7:40:20,7/3/2022 12:32:40,7/3/2022 13:41:18,7/3/2022 17:01:01,7/3/2022 21:01:53
7/3/2022 3:28:00,7/3/2022 4:44:03,7/3/2022 9:17:37,7/3/2022 10:44:40,7/3/2022 11:45:53,7/3/2022 12:32:06,7/3/2022 16:19:37,7/3/2022 20:43:39
7/3/2022 4:38:13,7/3/2022 9:08:45,7/3/2022 9:24:47,7/3/2022 13:20:35,7/3/2022 16:28:35,7/3/2022 20:34:32,7/3/2022 22:11:45,7/4/2022 1:24:05
7/3/2022 5:26:39,7/3/2022 9:30:27,7/3/2022 10:26:34,7/3/2022 11:01:20,7/3/2022 14:16:12,7/3/2022 15:45:58,7/3/2022 16:48:22,7/3/2022 18:50:14
7/3/2022 5:27:57,7/3/2022 7:50:31,7/3/2022 11:16:05,7/3/2022 12:31:18,7/3/2022 15:12:19,7/3/2022 16:42:12,7/3/2022 20:14:41,7/4/2022 0:08:04
7/3/2022 6:44:09,7/3/2022 11:08:40,7/3/2022 12:38:35,7/3/2022 14:29:49,7/3/2022 14:56:48,7/3/2022 15:38:34,7/3/2022 19:12:52,7/3/2022 22:04:02
7/3/2022 6:57:54,7/3/2022 9:11:06,7/3/2022 9:22:41,7/3/2022 9:38:18,7/3/2022 13:47:10,7/3/2022 14:24:23,7/3/2022 15:24:16,7/3/2022 19:57:16
7/3/2022 7:47:02,7/3/2022 12:09:11,7/3/2022 12:47:08,7/3/2022 13:40:57,7/3/2022 13:53:21,7/3/2022 14:40:50,7/3/2022 17:33:52,7/3/2022 17:43:02
7/3/2022 8:47:52,7/3/2022 9:22:25,7/3/2022 11:01:34,7/3/2022 16:00:52,7/3/2022 19:01:15,7/3/2022 21:41:11,7/3/2022 22:14:11,7/4/2022 1:37:28
7/3/2022 9:37:44,7/3/2022 11:09:38,7/3/2022 12:44:28,7/3/2022 15:34:28,7/3/2022 16:33:58,7/3/2022 19:11:58,7/3/2022 20:01:24,7/4/2022 0:35:56
7/3/2022 9:38:19,7/3/2022 11:39:11,7/3/2022 13:34:49,7/3/2022 14:27:27,7/3/2022 19:20:36,7/3/2022 23:19:55,7/4/2022 0:04:58,7/4/2022 2:12:26
7/3/2022 10:21:52,7/3/2022 10:41:47,7/3/2022 11:31:04,7/3/2022 16:28:08,7/3/2022 18:25:27,7/3/2022 22:41:46,7/4/2022 2:31:36,7/4/2022 6:17:58
7/3/2022 12:03:48,7/3/2022 16:50:18,7/3/2022 17:35:21,7/3/2022 22:17:44,7/3/2022 22:41:29,7/3/2022 23:33:02,7/4/2022 0:12:01,7/4/2022 4:22:07
7/3/2022 13:51:30,7/3/2022 17:52:27,7/3/2022 19:11:27,7/3/2022 20:38:12,7/4/2022 0:09:24,7/4/2022 0:40:02,7/4/2022 4:55:32,7/4/2022 9:13:20
7/3/2022 15:24:57,7/3/2022 19:35:18,7/4/2022 0:21:16,7/4/2022 1:17:41,7/4/2022 1:49:52,7/4/2022 6:02:39,7/4/2022 6:22:54,7/4/2022 8:36:31
7/3/2022 16:37:30,7/3/2022 16:51:29,7/3/2022 19:51:49,7/3/2022 20:20:46,7/4/2022 1:03:22,7/4/2022 2:37:14,7/4/2022 3:14:24,7/4/2022 3:43:15
7/3/2022 17:30:25,7/3/2022 18:21:33,7/3/2022 19:58:01,7/3/2022 23:33:44,7/4/2022 1:06:03,7/4/2022 4:37:49,7/4/2022 7:38:33,7/4/2022 10:41:20
7/3/2022 18:08:15,7/3/2022 21:06:44,7/4/2022 1:07:18,7/4/2022 2:40:06,7/4/2022 4:38:28,7/4/2022 8:03:57,7/4/2022 11:38:21,7/4/2022 12:04:25
7/3/2022 18:08:43,7/3/2022 19:53:51,7/4/2022 0:38:34,7/4/2022 2:11:18,7/4/2022 6:11:48,7/4/2022 7:21:56,7/4/2022 10:03:46,7/4/2022 13:59:35
7/3/2022 20:02:43,7/3/2022 20:22:46,7/3/2022 21:46:34,7/4/2022 1:47:05,7/4/2022 3:49:13,7/4/2022 8:21:02,7/4/2022 11:17:08,7/4/2022 11:36:27
7/3/2022 20:29:12,7/3/2022 22:32:00,7/3/2022 22:39:55,7/4/2022 2:15:07,7/4/2022 5:09:10,7/4/2022 5:45:11,7/4/2022 7:19:05,7/4/2022 9:33:24
7/3/2022 20:50:07,7/4/2022 1:29:30,7/4/2022 5:48:54,7/4/2022 8:42:28,7/4/2022 11:00:45,7/4/2022 15:57:57,7/4/2022 18:38:55,7/4/2022 19:12:11
7/3/2022 20:59:19,7/4/2022 1:51:09,7/4/2022 6:33:37,7/4/2022 8:10:41,7/4/2022 12:41:45,7/4/2022 16:43:07,7/4/2022 17:54:00,7/4/2022 19:31:44
7/3/2022 22:14:14,7/4/2022 0:31:58,7/4/2022 1:19:13,7/4/2022 6:19:59,7/4/2022 11:20:54,7/4/2022 15:13:53,7/4/2022 19:51:53,7/4/2022 22:13:05
7/4/2022 0:09:09,7/4/2022 2:42:13,7/4/2022 5:13:54,7/4/2022 7:55:59,7/4/2022 9:23:59,7/4/2022 11:30:39,7/4/2022 13:29:52,7/4/2022 15:45:40
7/4/2022 1:49:33,7/4/2022 4:49:21,7/4/2022 6:50:46,7/4/2022 9:07:26,7/4/2022 13:05:55,7/4/2022 15:54:09,7/4/2022 16:14:04,7/4/2022 16:23:35
7/4/2022 2:41:33,7/4/2022 5:03:31,7/4/2022 6:50:18,7/4/2022 9:07:43,7/4/2022 12:40:18,7/4/2022 14:34:38,7/4/2022 16:25:43,7/4/2022 19:20:06
7/4/2022 3:29:22,7/4/2022 6:17:13,7/4/2022 7:34:51,7/4/2022 11:50:41,7/4/2022 13:21:04,7/4/2022 15:11:23,7/4/2022 16:46:06,7/4/2022 18:17:25
7/4/2022 3:30:52,7/4/2022 3:42:36,7/4/2022 7:23:55,7/4/2022 7:41:49,7/4/2022 9:25:28,7/4/2022 13:24:02,7/4/2022 15:23:45,7/4/2022 19:12:16
7/4/2022 4:47:54,7/4/2022 5:15:30,7/4/2022 8:28:45,7/4/2022 11:33:09,7/4/2022 14:56:24,7/4/2022 19:41:35,7/4/2022 21:44:38,7/4/2022 23:27:38
7/4/2022 5:53:27,7/4/2022 8:44:32,7/4/2022 11:39:26,7/4/2022 15:01:47,7/4/2022 17:58:51,7/4/2022 19:46:34,7/4/2022 21:31:40,7/4/2022 23:06:12
7/4/2022 7:22:48,7/4/2022 7:58:51,7/4/2022 10:43:51,7/4/2022 15:09:30,7/4/2022 17:21:39,7/4/2022 20:33:04,7/4/2022 21:16:56,7/5/2022 1:10:42
7/4/2022 8:20:04,7/4/2022 10:54:56,7/4/2022 14:59:23,7/4/2022 17:51:59,7/4/2022 21:52:44,7/4/2022 22:56:55,7/5/2022 3:51:53,7/5/2022 6:47:27
7/4/2022 9:45:43,7/4/2022 11:57:55,7/4/2022 16:29:03,7/4/2022 21:27:41,7/5/2022 0:21:11,7/5/2022 1:01:25,7/5/2022 1:16:05,7/5/2022 4:11:06
7/4/2022 11:40:24,7/4/2022 15:26:24,7/4/2022 17:15:03,7/4/2022 18:28:25,7/4/2022 19:52:10,7/4/2022 23:38:10,7/5/2022 1:19:04,7/5/2022 3:22:17
7/4/2022 13:13:38,7/4/2022 17:05:23,7/4/2022 20:03:56,7/4/2022 20:59:53,7/4/2022 22:21:47,7/4/2022 23:54:48,7/5/2022 2:05:05,7/5/2022 6:57:07
7/4/2022 13:32:33,7/4/2022 17:46:56,7/4/2022 20:30:52,7/4/2022 23:26:56,7/5/2022 0:27:12,7/5/2022 1:03:53,7/5/2022 3:29:41,7/5/2022 3:58:07
7/4/2022 14:11:36,7/4/2022 14:34:06,7/4/2022 17:16:11,7/4/2022 19:11:49,7/4/2022 20:53:31,7/4/2022 22:53:29,7/4/2022 23:15:39,7/5/2022 0:23:49
7/4/2022 16:08:04,7/4/2022 18:49:22,7/4/2022 20:54:04,7/4/2022 22:43:27,7/5/2022 1:43:31,7/5/2022 6:14:24,7/5/2022 11:14:59,7/5/2022 16:11:38
7/4/2022 17:20:22,7/4/2022 18:39:25,7/4/2022 23:17:21,7/5/2022 0:21:29,7/5/2022 2:24:58,7/5/2022 7:11:59,7/5/2022 10:59:59,7/5/2022 13:04:28
7/4/2022 18:10:17,7/4/2022 22:31:52,7/5/2022 1:54:58,7/5/2022 5:04:42,7/5/2022 6:32:14,7/5/2022 8:06:35,7/5/2022 10:47:41,7/5/2022 12:44:44
7/4/2022 19:08:45,7/4/2022 19:48:46,7/4/2022 23:18:59,7/5/2022 3:43:24,7/5/2022 6:04:37,7/5/2022 8:18:55,7/5/2022 11:07:01,7/5/2022 11:30:59
7/4/2022 21:04:14,7/4/2022 21:16:29,7/5/2022 1:51:29,7/5/2022 6:49:04,7/5/2022 7:01:14,7/5/2022 11:51:58,7/5/2022 12:48:21,7/5/2022 15:32:36
7/4/2022 22:05:10,7/5/2022 2:26:31,7/5/2022 4:30:12,7/5/2022 7:55:09,7/5/2022 11:35:34,7/5/2022 13:28:05,7/5/2022 16:18:11,7/5/2022 17:23:09
7/4/2022 23:05:16,7/5/2022 3:27:23,7/5/2022 7:39:51,7/5/2022 9:34:23,7/5/2022 13:54:13,7/5/2022 18:33:39,7/5/2022 23:06:39,7/6/2022 3:24:37
7/4/2022 23:06:06,7/5/2022 3:20:38,7/5/2022 4:03:06,7/5/2022 9:01:18,7/5/2022 11:19:10,7/5/2022 11:23:03,7/5/2022 13:51:18,7/5/2022 14:56:49
7/5/2022 0:43:32,7/5/2022 1:27:15,7/5/2022 5:35:45,7/5/2022 8:27:11,7/5/2022 11:27:32,7/5/2022 15:15:06,7/5/2022 16:06:59,7/5/2022 20:14:01
7/5/2022 1:51:09,7/5/2022 2:35:52,7/5/2022 3:10:55,7/5/2022 5:32:44,7/5/2022 8:10:12,7/5/2022 8:58:26,7/5/2022 10:57:35,7/5/2022 15:30:15
7/5/2022 2:01:25,7/5/2022 3:06:35,7/5/2022 4:27:58,7/5/2022 9:12:04,7/5/2022 11:10:04,7/5/2022 13:26:01,7/5/2022 15:33:09,7/5/2022 15:40:54
7/5/2022 3:49:07,7/5/2022 8:38:48,7/5/2022 10:06:13,7/5/2022 13:55:23,7/5/2022 17:34:01,7/5/2022 18:44:28,7/5/2022 20:50:33,7/5/2022 23:23:13
7/5/2022 4:49:03,7/5/2022 7:19:33,7/5/2022 7:36:37,7/5/2022 8:36:42,7/5/2022 9:48:44,7/5/2022 12:34:43,7/5/2022 13:37:09,7/5/2022 13:43:20
7/5/2022 5:04:59,7/5/2022 5:58:50,7/5/2022 8:47:54,7/5/2022 12:48:47,7/5/2022 14:05:25,7/5/2022 19:01:34,7/5/2022 19:35:16,7/5/2022 22:17:36
7/5/2022 6:45:04,7/5/2022 11:44:54,7/5/2022 11:50:12,7/5/2022 14:21:22,7/5/2022 15:57:50,7/5/2022 18:49:44,7/5/2022 21:24:03,7/5/2022 23:42:56
7/5/2022 7:02:14,7/5/2022 7:58:14,7/5/2022 11:47:45,7/5/2022 14:46:13,7/5/2022 15:05:59,7/5/2022 16:59:40,7/5/2022 18:32:05,7/5/2022 19:50:16
7/5/2022 8:24:47,7/5/2022 10:45:44,7/5/2022 12:19:30,7/5/2022 15:26:19,7/5/2022 18:44:05,7/5/2022 21:36:38,7/6/2022 1:11:40,7/6/2022 3:57:30
7/5/2022 9:44:22,7/5/2022 13:09:33,7/5/2022 13:38:13,7/5/2022 14:54:17,7/5/2022 19:06:31,7/5/2022 23:30:55,7/6/2022 2:32:00,7/6/2022 3:30:42
7/5/2022 10:05:45,7/5/2022 11:47:34,7/5/2022 11:48:32,7/5/2022 12:15:49,7/5/2022 12:33:21,7/5/2022 14:01:09,7/5/2022 16:10:34,7/5/2022 20:42:04
7/5/2022 10:48:55,7/5/2022 12:28:06,7/5/2022 14:07:31,7/5/2022 16:31:56,7/5/2022 19:56:56,7/5/2022 20:35:08,7/5/2022 21:50:32,7/5/2022 22:54:53
7/5/2022 12:10:05,7/5/2022 14:07:41,7/5/2022 16:53:52,7/5/2022 18:25:45,7/5/2022 18:30:20,7/5/2022 22:17:43,7/5/2022 22:47:54,7/5/2022 23:39:09
7/5/2022 13:57:57,7/5/2022 16:47:11,7/5/2022 18:05:32,7/5/2022 22:25:04,7/6/2022 2:05:26,7/6/2022 7:02:50,7/6/2022 11:46:21,7/6/2022 15:33:21
7/5/2022 14:23:28,7/5/2022 19:12:48,7/5/2022 19:46:51,7/5/2022 23:23:34,7/6/2022 1:13:16,7/6/2022 1:48:35,7/6/2022 2:20:59,7/6/2022 6:36:47
7/5/2022 15:04:25,7/5/2022 18:25:52,7/5/2022 19:02:29,7/5/2022 19:34:31,7/5/2022 21:19:44,7/5/2022 23:16:32,7/6/2022 1:40:06,7/6/2022 4:17:46
7/5/2022 16:31:59,7/5/2022 16:34:21,7/5/2022 20:15:39,7/5/2022 20:56:17,7/5/2022 22:58:59,7/6/2022 1:36:56,7/6/2022 4:48:08,7/6/2022 5:59:16
7/5/2022 16:33:07,7/5/2022 17:53:18,7/5/2022 18:07:10,7/5/2022 18:11:16,7/5/2022 22:24:47,7/5/2022 23:15:59,7/6/2022 1:00:16,7/6/2022 1:48:16
7/5/2022 16:49:10,7/5/2022 19:48:29,7/5/2022 23:39:31,7/6/2022 0:09:12,7/6/2022 2:04:41,7/6/2022 4:15:56,7/6/2022 8:32:43,7/6/2022 10:37:05
7/5/2022 17:34:00,7/5/2022 21:25:23,7/5/2022 21:55:46,7/6/2022 1:58:36,7/6/2022 5:39:39,7/6/2022 7:06:38,7/6/2022 10:47:02,7/6/2022 11:50:59
7/5/2022 18:53:09,7/5/2022 21:21:55,7/5/2022 22:19:14,7/6/2022 1:14:58,7/6/2022 1:56:10,7/6/2022 5:56:16,7/6/2022 8:02:56,7/6/2022 10:46:06
7/5/2022 18:59:06,7/5/2022 22:23:52,7/6/2022 1:15:08,7/6/2022 3:22:30,7/6/2022 7:13:03,7/6/2022 10:26:13,7/6/2022 11:45:38,7/6/2022 13:01:44
7/5/2022 20:51:55,7/5/2022 20:56:39,7/6/2022 1:28:50,7/6/2022 2:32:32,7/6/2022 7:30:56,7/6/2022 8:33:36,7/6/2022 11:14:46,7/6/2022 15:16:45
7/5/2022 22:12:06,7/5/2022 22:54:00,7/6/2022 3:49:54,7/6/2022 4:32:33,7/6/2022 4:47:37,7/6/2022 8:08:18,7/6/2022 11:02:14,7/6/2022 12:31:45
7/5/2022 22:15:11,7/6/2022 1:48:39,7/6/2022 2:56:36,7/6/2022 5:32:23,7/6/2022 5:40:41,7/6/2022 10:26:13,7/6/2022 14:06:24,7/6/2022 16:20:20
7/5/2022 22:49:03,7/5/2022 23:44:22,7/6/2022 2:51:34,7/6/2022 7:42:12,7/6/2022 12:41:58,7/6/2022 17:15:51,7/6/2022 21:27:16,7/6/2022 22:13:03
7/5/2022 23:59:57,7/6/2022 3:47:18,7/6/2022 4:00:17,7/6/2022 5:52:39,7/6/2022 7:28:46,7/6/2022 8:47:10,7/6/2022 12:37:20,7/6/2022 16:56:50
7/6/2022 1:46:45,7/6/2022 2:33:08,7/6/2022 4:29:43,7/6/2022 8:17:49,7/6/2022 10:50:47,7/6/2022 12:53:08,7/6/2022 17:18:47,7/6/2022 21:53:39
7/6/2022 2:43:22,7/6/2022 6:31:25,7/6/2022 6:41:13,7/6/2022 6:59:16,7/6/2022 7:05:48,7/6/2022 11:24:00,7/6/2022 15:49:23,7/6/2022 15:57:17
7/6/2022 4:24:30,7/6/2022 8:24:43,7/6/2022 11:45:04,7/6/2022 14:27:24,7/6/2022 15:35:48,7/6/2022 18:56:59,7/6/2022 23:20:19,7/7/2022 4:12:29
7/6/2022 6:19:46,7/6/2022 10:44:25,7/6/2022 13:36:01,7/6/2022 18:05:13,7/6/2022 20:57:13,7/6/2022 22:16:00,7/7/2022 2:07:27,7/7/2022 5:29:35
7/6/2022 6:46:57,7/6/2022 8:03:15,7/6/2022 11:21:06,7/6/2022 14:50:03,7/6/2022 15:57:09,7/6/2022 18:57:19,7/6/2022 19:07:01,7/6/2022 21:49:18
7/6/2022 6:53:31,7/6/2022 8:43:39,7/6/2022 8:43:45,7/6/2022 10:14:24,7/6/2022 15:13:53,7/6/2022 16:07:06,7/6/2022 19:32:12,7/6/2022 21:07:05
